exoId;exoPropertyId;exoPropertyValue
40;252;nee
40;255;++
41;252;ja
41;255;++
42;252;ja
42;253;ja
42;254;ja
43;252;ja
122;252;nee
122;253;ja
122;254;ja
122;255;++
123;252;nee
123;255;++
124;252;ja
125;252;ja
127;252;ja
130;252;nee
130;253;ja
130;254;ja
130;255;+
132;252;ja
141;252;ja
141;254;ja
141;255;+
142;252;ja
142;254;ja
142;255;+
169;252;nee
170;252;nee
170;253;ja
170;254;ja
170;255;++
173;252;nee
173;253;ja
173;254;ja
173;255;++
175;252;ja
175;255;+
176;252;nee
176;255;++
177;252;ja
177;253;ja
177;254;ja
177;256;mogelijke hinder indien helm